dataset,vertices,edges,build_ms,memory_bytes
trade,161,22475,0,585324

metric,mean_ms,variance_ms,min_ms,max_ms
Degree Centrality,0.02687,8.28761e-05,0.0159,0.0391
Betweenness Centrality,62.6417,14.2019,58.2459,68.3673
Closeness Centrality,50.1395,3.90848,46.6708,52.4168
PageRank,2.39479,0.138219,1.9168,2.7701
Average Shortest Path,50.4405,9.47937,46.5177,54.2813
Eigenvector Centrality,4.45157,0.334846,4.0003,5.4445
Clustering Coefficient,45.6099,1.62521,43.7194,47.9982
